"KNOT","A","B1","B2","B3","SEX","AGE","PERCENTILE","CHART"
204,165,0.19,-0.0123,0.000156,"M","2-18 years",5,"ht x age"
26,81.6,0.669,-0.00373,1.89e-05,"F","2-18 years",5,"ht x age"
132,133,0.519,0.00232,-0.000148,"F","2-18 years",5,"ht x age"
156,145,0.375,-0.00835,8.02e-05,"F","2-18 years",5,"ht x age"
192,152,0.0856,0.000315,-2.18e-05,"F","2-18 years",5,"ht x age"
18,9.72,0.128,7.31e-05,5.34e-07,"M","2-18 years",5,"wt  x age"
96,20.4,0.149,0.000198,1.65e-05,"M","2-18 years",5,"wt  x age"
156,33.6,0.351,0.00317,-5.72e-05,"M","2-18 years",5,"wt  x age"
204,51.5,0.261,-0.00506,4.07e-05,"M","2-18 years",5,"wt  x age"
18,9.02,0.161,-0.00113,1.04e-05,"F","2-18 years",5,"wt  x age"
84,17.7,0.148,0.000928,2.86e-06,"F","2-18 years",5,"wt  x age"
144,30.5,0.29,0.00144,-3.94e-05,"F","2-18 years",5,"wt  x age"
192,43.4,0.156,-0.00422,3.89e-05,"F","2-18 years",5,"wt  x age"
26,83.5,0.674,-0.00299,1.13e-05,"M","2-18 years",10,"ht x age"
138,138,0.431,0.000826,1.63e-05,"M","2-18 years",10,"ht x age"
168,152,0.525,0.0023,-0.000127,"M","2-18 years",10,"ht x age"
204,168,0.194,-0.0115,0.00017,"M","2-18 years",10,"ht x age"
26,82.1,0.731,-0.00469,2.39e-05,"F","2-18 years",10,"ht x age"
132,136,0.546,0.00296,-0.000175,"F","2-18 years",10,"ht x age"
156,148,0.386,-0.00961,9.84e-05,"F","2-18 years",10,"ht x age"
192,154,0.0768,0.00101,-3.58e-05,"F","2-18 years",10,"ht x age"
18,10.2,0.131,0.000166,2.87e-08,"M","2-18 years",10,"wt  x age"
96,21.4,0.157,0.000172,1.93e-05,"M","2-18 years",10,"wt  x age"
156,35.6,0.386,0.00364,-6.55e-05,"M","2-18 years",10,"wt  x age"
204,55.3,0.283,-0.00578,2.5e-05,"M","2-18 years",10,"wt  x age"
18,9.16,0.206,-0.00223,1.86e-05,"F","2-18 years",10,"wt  x age"
84,18.4,0.155,0.00145,-1.68e-06,"F","2-18 years",10,"wt  x age"
144,32.5,0.311,0.00115,-3.89e-05,"F","2-18 years",10,"wt  x age"
192,45.8,0.152,-0.00445,4.38e-05,"F","2-18 years",10,"wt  x age"
26,85.3,0.732,-0.00391,1.64e-05,"M","2-18 years",25,"ht x age"
138,141,0.475,0.00163,-1.12e-05,"M","2-18 years",25,"ht x age"
168,157,0.542,0.000623,-0.000114,"M","2-18 years",25,"ht x age"
204,172,0.144,-0.0117,0.000204,"M","2-18 years",25,"ht x age"
26,84,0.754,-0.00469,2.39e-05,"F","2-18 years",25,"ht x age"
132,140,0.57,0.00296,-0.000192,"F","2-18 years",25,"ht x age"
156,153,0.38,-0.0109,0.000118,"F","2-18 years",25,"ht x age"
192,158,0.0544,0.00184,-4.38e-05,"F","2-18 years",25,"ht x age"
18,10.5,0.178,-0.000686,6.07e-06,"M","2-18 years",25,"wt  x age"
96,23.1,0.182,0.000734,1.44e-05,"M","2-18 years",25,"wt  x age"
156,39.7,0.426,0.00333,-6.9e-05,"M","2-18 years",25,"wt  x age"
204,60.2,0.269,-0.0066,6.64e-05,"M","2-18 years",25,"wt  x age"
18,9.61,0.241,-0.00306,2.64e-05,"F","2-18 years",25,"wt  x age"
84,19.8,0.182,0.00217,-9.16e-06,"F","2-18 years",25,"wt  x age"
144,36.5,0.343,0.000517,-3.69e-05,"F","2-18 years",25,"wt  x age"
192,50.1,0.137,-0.0048,5.62e-05,"F","2-18 years",25,"wt  x age"
26,86.8,0.822,-0.00523,2.34e-05,"M","2-18 years",50,"ht x age"
138,146,0.532,0.00266,-5.99e-05,"M","2-18 years",50,"ht x age"
168,163,0.53,-0.00273,-5.24e-05,"M","2-18 years",50,"ht x age"
204,176,0.13,-0.00839,0.000147,"M","2-18 years",50,"ht x age"
26,86.8,0.73,-0.00364,1.78e-05,"F","2-18 years",50,"ht x age"
132,145,0.561,0.00206,-0.000166,"F","2-18 years",50,"ht x age"
156,157,0.374,-0.00989,9.94e-05,"F","2-18 years",50,"ht x age"
192,162,0.0482,0.000852,-2.58e-05,"F","2-18 years",50,"ht x age"
18,11.1,0.217,-0.00137,1.18e-05,"M","2-18 years",50,"wt  x age"
96,25.3,0.219,0.00139,7.1e-06,"M","2-18 years",50,"wt  x age"
156,45,0.462,0.00267,-6.3e-05,"M","2-18 years",50,"wt  x age"
204,66.3,0.283,-0.00641,6.37e-05,"M","2-18 years",50,"wt  x age"
18,10.4,0.254,-0.00316,2.93e-05,"F","2-18 years",50,"wt  x age"
84,21.8,0.221,0.00264,-1.42e-05,"F","2-18 years",50,"wt  x age"
144,41.5,0.385,9.29e-05,-3.92e-05,"F","2-18 years",50,"wt  x age"
192,55.9,0.123,-0.00555,7.04e-05,"F","2-18 years",50,"wt  x age"
26,89.2,0.839,-0.00532,2.44e-05,"M","2-18 years",75,"ht x age"
138,151,0.569,0.00292,-8.35e-05,"M","2-18 years",75,"ht x age"
168,169,0.519,-0.0046,-1.6e-05,"M","2-18 years",75,"ht x age"
204,180,0.126,-0.00632,8.89e-05,"M","2-18 years",75,"ht x age"
26,89.3,0.723,-0.00287,1.28e-05,"F","2-18 years",75,"ht x age"
132,149,0.548,0.00122,-0.000137,"F","2-18 years",75,"ht x age"
156,161,0.371,-0.00862,7.4e-05,"F","2-18 years",75,"ht x age"
192,167,0.0382,-0.000624,7.04e-06,"F","2-18 years",75,"ht x age"
18,12,0.233,-0.00161,1.58e-05,"M","2-18 years",75,"wt  x age"
96,27.9,0.27,0.00209,6.25e-07,"M","2-18 years",75,"wt  x age"
156,51.8,0.528,0.0022,-7.25e-05,"M","2-18 years",75,"wt  x age"
204,74.2,0.238,-0.00825,0.00012,"M","2-18 years",75,"wt  x age"
18,10.9,0.325,-0.00481,4.42e-05,"F","2-18 years",75,"wt  x age"
84,24.2,0.268,0.00394,-2.93e-05,"F","2-18 years",75,"wt  x age"
144,48.1,0.424,-0.00133,-2.77e-05,"F","2-18 years",75,"wt  x age"
