cycle,converged,status,neg2ll,nspp,gamlam.0,ka.mean,ka.median,ka.sd,ke.mean,ke.median,ke.sd,v.mean,v.median,v.sd,tlag1.mean,tlag1.median,tlag1.sd
54,false,Continue,444.1742074243381,19,2.42017,0.6830799474214252,0.7325260353088379,0.04856084627323487,0.049769886861349415,0.045901044511795046,0.00025763456702815996,78.51161444814582,74.35213279724121,673.9880866544105,1.4499684383994655,1.0649908065795899,1.3592196632875917
55,false,Continue,443.98737445775697,19,2.42017,0.6830799474214252,0.7325260353088379,0.04856084627323487,0.049769886861349415,0.045901044511795046,0.00025763456702815996,78.5708249744616,74.35213279724121,676.9959973828651,1.4499684383994655,1.0649908065795899,1.3592196632875917
56,false,Continue,443.9040161539299,19,2.42017,0.6830799474214252,0.7325260353088379,0.04856084627323487,0.049769886861349415,0.045901044511795046,0.00025763456702815996,78.6300355007774,74.35213279724121,680.1371317955303,1.4499684383994655,1.0649908065795899,1.3592196632875917
57,false,Continue,443.89006361318906,19,2.42017,0.6830799474214252,0.7325260353088379,0.04856084627323487,0.049769886861349415,0.045901044511795046,0.00025763456702815996,78.6300355007774,74.35213279724121,680.1371317955303,1.447336859452097,1.0649908065795899,1.3544123929196517
58,false,Continue,443.87988741868054,19,2.42017,0.6830799474214252,0.7325260353088379,0.04856084627323487,0.049769886861349415,0.045901044511795046,0.00025763456702815996,78.6300355007774,74.35213279724121,680.1371317955303,1.4447052805047287,1.0649908065795899,1.3498682804464484
59,false,Continue,443.87432818940187,19,2.42017,0.6830799474214252,0.7325260353088379,0.04856084627323487,0.049769886861349415,0.045901044511795046,0.00025763456702815996,78.6300355007774,74.35213279724121,680.1371317955303,1.4420737015573604,1.0649908065795899,1.3455873258679816
60,false,Continue,443.87240388569603,19,2.42017,0.6830799474214252,0.7325260353088379,0.04856084627323487,0.049769886861349415,0.045901044511795046,0.00025763456702815996,78.6300355007774,74.35213279724121,680.1371317955303,1.4394421226099918,1.0649908065795899,1.341569529184252
61,false,Continue,443.87240388569603,19,2.42017,0.6830799474214252,0.7325260353088379,0.04856084627323487,0.049769886861349415,0.045901044511795046,0.00025763456702815996,78.6300355007774,74.35213279724121,680.1371317955303,1.4394421226099918,1.0649908065795899,1.341569529184252
62,false,Continue,443.37138821248203,19,2.42017,0.6928943232486123,0.7619434547424317,0.05151378131733325,0.04834215556320391,0.045282294511795045,0.0002669728961979702,79.82533557791459,76.03963279724121,648.3100599483614,1.3852907632526597,1.069418716430664,1.2163948528817212
63,false,Continue,442.9823527346881,20,2.42017,0.6936068773269655,0.7459654903411865,0.04901109589540271,0.04890554554104805,0.045591669511795045,0.00026111412368541543,78.50051536560059,75.19588279724121,654.5166315801928,1.4694695568084715,1.079704761505127,1.29572631245184
